Tabla,Columna,Tipo dato,Nombre variable,Descripción (ES),Nombre (EN),Descripción (EN)
DatosLocalizacion,R1,float,land m2,Land area,Área de tierra (m²),Área de tierra en metros cuadrados
DatosLocalizacion,R2,float,water m2,Water area,Área de agua (m²),Área de agua en metros cuadrados
DatosLocalizacion,R3,float,Lsqmi,Land area,Área de tierra (mi²),Área de tierra en millas cuadradas
DatosLocalizacion,R4,float,Wsqmi,Water area,Área de agua (mi²),Área de agua en millas cuadradas
DatosLocalizacion,R5,float,Tsqmi,Total area,Área total (mi²),Área total en millas cuadradas
DatosLocalizacion,R6,float,Tacres,total area in acres,Área total (acres),Área total en acres
DatosLocalizacion,R7,int(11),pop10,Population Estimate (as of July 1) - 2010,Población 2010,Estimación de población al 1 de julio de 2010
DatosLocalizacion,R8,int(11),pop15,Population Estimate (as of July 1) - 2015,Población 2015,Estimación de población al 1 de julio de 2015
DatosLocalizacion,R9,float,nonPLand,Non public land [total area minus public land],Tierra no pública,Total de tierra menos tierras públicas
DatosLocalizacion,R10,int(11),households,estimate; households by type - total households [HC01_VC03],Total de hogares,Hogares por tipo - hogares totales
DatosLocalizacion,R11,int(11),families,estimate; households by type - total households - family households (families) [HC01_VC04],Familias,Hogares por tipo - hogares familiares (familias)
DatosSociales,S1,float,pGrowth,Population Growth,Crecimiento,Crecimiento de la población
DatosSociales,S2,float,% age>64,percent sex and age 65 years and older,% edad >64,Porcentaje de sexo y edad de 65 años o más
DatosSociales,S3,float,% age<18,percent less than 18 years,% edad <18,Porcentaje de menores de 18 años
DatosSociales,S4,float,HHsize,estimate; households by type - average household size [HC01_VC21],Talla de la casa,Estimación; hogares por tipo - tamaño promedio del hogar [HC01_VC21]
DatosSociales,S5,float,%maleHh,percent; households by type - total households - family households (families) - male householder no wife present family [HC03_VC08],% hombres,Porcentaje; hogares por tipo - total de hogares - hogares familiares (familias) - cabeza de familia masculina sin esposa presente [HC03_VC08]
DatosSociales,S6,float,%femaleHh,percent; households by type - total households - family households (families) - female householder no husband present family [HC03_VC10],% mujeres,Porcentaje; hogares por tipo - total de hogares - hogares familiares (familias) - cabeza de familia femenina sin esposo presente [HC03_VC10]
DatosSociales,S7,float,%singlePHh,percent family households (families) single male or single female householder no partner present,% solteros,Porcentaje de hogares familiares (familias) cabeza de familia masculina o femenina soltera sin pareja presente
DatosSociales,S8,float,%Native,percent; place of birth - total population - native [HC03_VC131],% nativos,Porcentaje; lugar de nacimiento - población total - nativa [HC03_VC131]
DatosSociales,S9,float,%Foreign,percent; place of birth - total population - foreign born [HC03_VC136],% extranjeros,Porcentaje; lugar de nacimiento - población total - nacida en el extranjero [HC03_VC136]
DatosSociales,S10,float,%notUScit,percent; U.S. citizenship status - foreign-born population - not a U.S. citizen [HC03_VC142],% no estadounidenses,Porcentaje; Estado de ciudadanía estadounidense - población nacida en el extranjero - no ciudadano estadounidense [HC03_VC142]
DatosSociales,S11,float,%migr,percent of total population from migration (negative value: loss of population) 5-year average [2010-15]:Cumulative Estimates of the Components of Population Change - April 1 2010 to July 1 2015 - Net Migration - Total,% emigrantes,Porcentaje de la población total proveniente de la migración (valor negativo: pérdida de población) Promedio de 5 años [2010-15]: Estimaciones acumuladas de los componentes del cambio poblacional - 1 de abril de 2010 a 1 de julio de 2015 - Migración neta - Total
DatosSociales,S12,float,%intlMigr,percent of total population from international migration (negative value: loss of population) 5-year average [2010-15]:Cumulative Estimates of the Components of Population Change - April 1 2010 to July 1 2015 - Net Migration - International [2],% inmigrantes internacionales,Porcentaje de la población total proveniente de la migración internacional (valor negativo: pérdida de población) Promedio de 5 años [2010-15]: Estimaciones acumuladas de los componentes del cambio poblacional - 1 de abril de 2010 a 1 de julio de 2015 - Migración neta - Internacional [2]
DatosSociales,S13,float,%highschool,percent; educational attainment - population 25 years and over - high school graduate (includes equivalency) [HC03_VC88],% preparatoria,Porcentaje; nivel educativo - población de 25 años o más - graduado de la escuela secundaria (incluye equivalencia) [HC03_VC88]
DatosSociales,S14,float,%bach,percent; educational attainment - population 25 years and over - bachelor's degree [HC03_VC91],% licenciatura,Porcentaje; nivel educativo - población de 25 años o más - licenciatura [HC03_VC91]
DatosSociales,S15,float,%grad,percent; educational attainment - population 25 years and over - graduate or professional degree [HC03_VC92],% posgrado,Porcentaje; Nivel educativo - población de 25 años o más - título de posgrado o profesional [HC03_VC92]
DatosSociales,S16,float,undereducated,percent of population 16 and over that has finished neither high school or college,bajo nivel educativo,Porcentaje de la población de 16 años o más que no ha terminado la escuela secundaria ni la universidad
DatosSociales,S17,float,years lost,Premature death (years of potential life lost before age 75 per 100 000 population; age-adjusted),años perdidos,Muerte prematura (años de vida potencial perdidos antes de los 75 años por cada 100 000 habitantes; ajustado por edad)
DatosSociales,S18,float,poor health,Poor or fair health (percentage of adults reporting fair or poor health; age-adjusted),mala salud,Salud mala o regular (porcentaje de adultos que reportan salud regular o mala; ajustado por edad)
DatosSociales,S19,float,ph.unhealth,Poor physical health days (average number of physically unhealthy days reported in past 30 days; age-adjusted),insuficiencia familiar,Días de mala salud física (promedio de días de insalubridad física reportados en los últimos 30 días; ajustado por edad)
DatosSociales,S20,float,me.unhealth,Poor mental health days (average number of mentally unhealthy days reported in past 30 days; age-adjusted),insuficiencia familiar,Días de mala salud mental (promedio de días de insalubridad mental reportados en los últimos 30 días; ajustado por edad)
DatosSociales,S21,float,uninsured,Uninsured (percentage of population under age 65 without health insurance),sin seguro médico,Sin seguro médico (porcentaje de la población menor de 65 años sin seguro médico)
DatosSociales,S22,float,physicians,Primary care physicians (ratio of population to primary care physicians),médicos,Médicos de atención primaria (ratio de población por médicos de atención primaria)
DatosSociales,S23,float,obesity [adj],Obesity prevalence; age-adjusted percent [2013],obesidad [adj],Prevalencia de obesidad; porcentaje ajustado por edad [2013]
DatosSociales,S24,float,%ownerOcc,percent  of owner-occupied housing units; Estimate; Occupied housing units [HC02_EST_VC01],% ocupación del propietario,Porcentaje de viviendas ocupadas por sus propietarios; Estimación; Viviendas ocupadas [HC02_EST_VC01]
DatosSociales,S25,float,%renterOcc,percent of renter-occupied housing units; Estimate; Occupied housing units [HC03_EST_VC01],% ocupación del inquilino,Porcentaje de viviendas ocupadas por inquilinos; Estimación; Viviendas ocupadas [HC03_EST_VC01]
DatosSociales,S26,int(11),YrHome,Estimate; Median year structure built,Año de la casa,Estimación; Año promedio de construcción de la estructura
DatosSociales,S27,float,housing.probs,Severe housing problems (percentage of households with at least 1 of 4 housing problems: overcrowding high housing costs or lack of kitchen or plumbing facilities),problemas de vivienda,"Problemas graves de vivienda (porcentaje de hogares con al menos uno de cuatro problemas de vivienda: hacinamiento, altos costos de vivienda o falta de cocina o plomería)"
DatosSociales,S28,float,crime,Violent crime (number of reported violent crime offenses per 100 000 population),delincuencia,Delitos violentos (número de delitos violentos denunciados por cada 100 000 habitantes)
DatosSociales,S29,float,ch.poverty,Children in poverty (percentage of children under age 18 in poverty),pobreza familiar,Niños en situación de pobreza (porcentaje de niños menores de 18 años en situación de pobreza)
DatosSociales,S30,float,DepPop,percent of population under 18 and 65 and over,población dependiente,Porcentaje de la población menor de 18 años y mayor de 65 años
TipologiaTerritorial,T1,int(11),UIC13,"2013 Urban Influence Codes
Metropolitan Counties
1: In large metro area of 1+ million residents
2: In small metro area of less than 1 million residents
Nonmetropolitan Counties
3: Micropolitan area adjacent to large metro area
4: Noncore adjacent to large metro area
5: Micropolitan area adjacent to small metro area
6: Noncore adjacent to small metro area and contains a town of at least 2500 residents
7: Noncore adjacent to small metro area and does not contain a town of at least 2500 residents
8: Micropolitan area not adjacent to a metro area
9: Noncore adjacent to micro area and contains a town of at least 2500 residents
10: Noncore adjacent to micro area and does not contain a town of at least 2500 residents
11: Noncore not adjacent to metro or micro area and contains a town of at least 2500 residents
12: Noncore not adjacent to metro or micro area and does not contain a town of at least 2500 residents",UIC13,Códigos de influencia urbana 2013 (13 categorías de urbanización de condados)
TipologiaTerritorial,T2,tinyint(4),metro,"2015 ERS County Typology Codes Update
Classification of counties by metro or nonmetro definition
1=metro county (Urban); metro areas include all counties containing one or more urbanized areas: high-density urban areas containing 50000 people or more; metro areas also include outlying counties that are economically tied to the central counties as measured by the share of workers commuting on a daily basis to the central counties.
0=nonmetro county (Rural); Nonmetro counties are outside the boundaries of metro areas and have no cities with 50000 residents or more.",Metro,Código de tipología 2015 del ERS: condado metropolitano
TipologiaTerritorial,T3,int(11),economic,"2015 ERS County Typology Codes Update
Non-overlapping economic-dependence county indicator
0=Nonspecialized
1=Farm-dependent
2=Mining-dependent
3=Manufacturing-dependent
4=Federal/State government-dependent
5=Recreation",Económico,Código de tipología económica 2015 del ERS (dependencia de ingreso/industria)
TipologiaTerritorial,T4,tinyint(4),farming,"2015 ERS County Typology Codes Update
Farm-dependent county indicator
0=no
1=yes Faming accounted for at 25% or more of the county's earnings or 16% or more of the employment averaged over 2010-2012.",Agricultura,Código de tipología agrícola 2015 del ERS (dependencia del ingreso agrícola)
TipologiaTerritorial,T5,tinyint(4),manufct,"2015 ERS County Typology Codes Update: Manufacturing-dependent county indicator.
0=no
1=yes.  Manufacturing accounted for 23% or more of the county's earnings or 16% of the employment averaged over 2010-12.",Manufactura,Código de tipología manufacturera 2015 del ERS (dependencia del ingreso manufacturero)
TipologiaTerritorial,T6,tinyint(4),recreation,"2015 ERS County Typology Codes Update: Recreation county indicator
0=no
1=yes.  See documentation page: http://www.ers.usda.gov/data-products/county-typology-codes.aspx",Recreación,Código de tipología de recreación 2015 del ERS
TipologiaTerritorial,T7,tinyint(4),pop loss,"2015 ERS County Typology Codes Update
Population loss county indicator.
0=no
1=yes. Number of resident declined between the 1990 and 2000 censuses and also between the 2000 and 2010 censuses.",Pérdida de población,Declive poblacional (según documentación del ERS)
TipologiaTerritorial,T8,tinyint(4),ret dest,"2015 ERS County Typology Codes Update
Retirement destination county indicator.
0=no
1=yes. Number of resident 60 and older grew by 15 percent or more between 2000 and 2010.",Crecimiento de adultos mayores,Crecimiento de población de 60+ años entre 2000 y 2010
TipologiaTerritorial,T9,tinyint(4),perst pov,"2015 ERS County Typology Codes Update
Classification of counties by level of poverty over three decades where
1=persistent poverty county; a county was classified as persistent poverty if 20 percent or more of its residents were poor as measured by the 1980 1990 and 2000 decennial censuses and the American Community Survey 5-year estimates for 2007-11
0=all other counties;",Pobreza (tres décadas),Clasificación de pobreza persistente a lo largo de tres décadas
TipologiaTerritorial,T10,tinyint(4),perschild pov,"2015 ERS County Typology Codes Update
Classification of counties by level of poverty over three decades where
1=persistent related child poverty county; a county was classified as persistent related child poverty if 20 percent or more of related children under 18 years old were poor as measured by the 1980 1990 and 2000 decennial censuses and the American Community Survey 5-year estimates for 2007-11. See the Census Bureau website (http://www.census.gov/hhes/www/poverty/methods/definitions.html) for details about the poverty population universe as it pertains to related children and treatment of unrelated individuals under age 15.
0=all other counties; ",Pobreza infantil persistente,Clasificación de condado con pobreza infantil persistente durante tres décadas
